"Time","Year","Month","Temp","Chl","w"
1,1987,1,15.1339396499608,-0.144511244131061,6.41734250508026
2,1987,2,14.6146929546836,-0.22089493768986,2.950538411872
3,1987,3,14.4186515726841,-0.30399533598679,5.4646541518443
4,1987,4,15.4559635679521,-0.24689880411514,2.06028721279451
5,1987,5,17.4830751823204,-0.213117621183897,4.80613024412655
6,1987,6,21.2908426003192,-0.2026495855871,8.93290271174827
7,1987,7,24.9328000469255,-0.189469739199378,10.8981977590067
8,1987,8,25.9549694815526,-0.196301713660734,2.63037670715511
9,1987,9,25.6558755210178,-0.188682803872712,3.07688282475603
10,1987,10,23.1090336551601,-0.154222660569061,3.39008219620257
11,1987,11,19.8824481392465,-0.106415251405192,7.48906616384268
12,1987,12,17.2736063839731,-0.0673137135866013,7.36316476715711
13,1988,1,15.8428613291331,-0.149694129546374,5.30079887189655
14,1988,2,15.0852762983932,-0.219766632525927,4.55050650831904
15,1988,3,14.773920706109,-0.263248191619916,4.34255060231923
16,1988,4,16.0260336907531,-0.231493258606918,6.2660699507304
17,1988,5,18.8222531596263,-0.175404698228649,6.21145371191503
18,1988,6,22.0686712715179,-0.182764579731151,7.56368362781935
19,1988,7,25.3500062231569,-0.160402428587916,6.14496005573982
20,1988,8,26.6648062828155,-0.17613722491843,3.24738410190997
21,1988,9,25.0694998228283,-0.201836076705725,4.67240284706367
22,1988,10,22.8501014899921,-0.162919868411624,6.18692740761453
23,1988,11,19.6638230083166,-0.133894684118852,4.14594818659541
24,1988,12,16.7115050354716,-0.142834686540481,-1.72941644054742
25,1989,1,15.1901364180623,-0.211619461529833,-3.9059409370202
26,1989,2,14.691538761141,-0.322367309494853,1.80567815060385
27,1989,3,15.0073064939594,-0.283733687242292,-1.94521066249736
28,1989,4,16.2579748751289,-0.194250843980821,6.02322378954556
29,1989,5,18.6098859854746,-0.205522488917272,3.36365890919089
30,1989,6,21.8718846088177,-0.210904737601525,2.78793871183971
31,1989,7,24.9824870196105,-0.17157859979982,1.34828728279515
32,1989,8,26.2496034600009,-0.167581514596031,-1.74116892149157
33,1989,9,24.8732241473834,-0.196460976042116,-8.7406033133896
34,1989,10,22.0839702216552,-0.194273515578468,-4.7559539590348
35,1989,11,19.6938980604616,-0.0838024858547513,-6.58014822458869
36,1989,12,17.5631982713553,-0.0608267822060772,-7.52491929714751
37,1990,1,16.0536510756748,-0.191430028160379,-2.32043640464288
38,1990,2,15.364722715004,-0.236975356840073,-3.42822170342804
39,1990,3,15.493742726496,-0.326697405991189,-0.969354102888454
40,1990,4,16.3094292206292,-0.204528200595532,-3.33966938065742
41,1990,5,19.0926012572198,-0.23433746029184,-11.97403574683
42,1990,6,22.0908422082707,-0.19924120030545,-8.30925044084132
43,1990,7,24.9951490947459,-0.160928204554585,-1.29744466078021
44,1990,8,25.9873948036035,-0.188274249227928,0.813005648065037
45,1990,9,24.922222571528,-0.185535160562928,-1.37740634570726
46,1990,10,23.2149955342659,-0.152033420811619,-7.08051631382097
47,1990,11,20.3862020884617,-0.0916922647229117,-7.61428307045687
48,1990,12,17.3773495888501,-0.0690965084060514,-11.8705574167847
49,1991,1,15.8653979878003,-0.169620185486684,-18.4862882050683
50,1991,2,14.910074018653,-0.251269755710545,-10.5623802624964
51,1991,3,15.1420829443211,-0.243232825199904,-10.196340463412
52,1991,4,15.8717426038069,-0.203038289835585,-7.26821270033393
53,1991,5,17.4135239392503,-0.174090713643712,-1.53505118294927
54,1991,6,21.1131752232376,-0.192698737759035,1.87540452603626
55,1991,7,24.5384688066431,-0.148464192074257,5.68842191034087
56,1991,8,26.0536518767567,-0.15053958084708,7.78129288564522
57,1991,9,25.4388005761371,-0.184684307398443,13.2849181530515
58,1991,10,23.0298094830565,-0.13365414878446,9.67476381011734
59,1991,11,19.6806476511677,-0.103009993248231,13.1775651762903
60,1991,12,16.8331800716758,-0.134490812184144,9.06433011523667
61,1992,1,15.1647086511638,-0.225980147855631,10.1036343101833
62,1992,2,14.4980596546207,-0.321359883798919,17.1807749044685
63,1992,3,14.4764236693462,-0.34607642384265,18.6916461464149
64,1992,4,15.4791088922481,-0.18746517113762,16.1412313559908
65,1992,5,18.2349084411508,-0.196379211073016,15.5325138031264
66,1992,6,21.3092184734548,-0.169387642750627,12.6933900964113
67,1992,7,24.2274619349291,-0.159696458479001,9.4985812652296
68,1992,8,26.6022996179759,-0.154965300252278,6.76209647356695
69,1992,9,25.0030824534943,-0.177861604781288,4.0511535776522
70,1992,10,22.49216282924,-0.127864294488057,0.817544218282797
71,1992,11,19.8864329779862,-0.0800131747270623,2.52529187423311
72,1992,12,17.1620745133784,-0.0629115332998153,-1.05439495971208
73,1993,1,15.3527128066054,-0.199032600471503,-8.30100563484462
74,1993,2,14.6153817500822,-0.299117236371854,-5.75821176690932
75,1993,3,14.4517631172653,-0.314865566087666,-7.30036857217228
76,1993,4,15.6273959433828,-0.240548012112893,-6.51446833415365
77,1993,5,18.717175110549,-0.175705299072204,-9.37545431379768
78,1993,6,22.5311526206694,-0.202781601258288,-2.38661563794764
79,1993,7,24.2504264463625,-0.161453431401653,-7.3843835502294
80,1993,8,25.9116135673363,-0.169003054549656,-5.27001899959923
81,1993,9,24.681754400587,-0.170333107208703,-3.38466702996163
82,1993,10,22.3008608852084,-0.114730769055386,-3.4086706705999
83,1993,11,19.7140539000896,-0.0973633513911609,-1.59695482666885
84,1993,12,17.1905174857652,-0.0775508552790472,4.70136441564064
85,1994,1,15.6905151587818,-0.100683833904546,1.84134909959154
86,1994,2,14.7953980112276,-0.197882024174572,6.98583708404347
87,1994,3,15.2098952289246,-0.291533274006472,3.20214207370374
88,1994,4,16.0701191851229,-0.217161089706429,2.10467611012435
89,1994,5,19.0156563872561,-0.159372902315165,-3.46933169195076
90,1994,6,22.0976586846274,-0.180045661687963,-4.05032593905377
91,1994,7,25.4885328290281,-0.157653413070236,1.82004210381065
92,1994,8,27.1748781713846,-0.160562396985395,1.38078800554908
93,1994,9,25.8698465649562,-0.174477803059534,3.63681272942908
94,1994,10,23.4733790996077,-0.140309494873183,5.65611305011635
95,1994,11,20.4452497839352,-0.0924698525053509,0.882455482889446
96,1994,12,17.5840862612057,-0.104333453368061,0.536844643684165
97,1995,1,15.5439438094915,-0.157903098000556,1.41351183589754
98,1995,2,15.0570203539069,-0.238789381510553,1.05677795161215
99,1995,3,15.1250984928636,-0.297293435515685,5.5579288053493
100,1995,4,15.8021769407948,-0.262018894609493,-4.6454050035215
101,1995,5,18.3733393835054,-0.190963395534247,-2.14490299611499
102,1995,6,22.3398404108194,-0.207446005955304,-6.27760796855642
103,1995,7,25.5321796812318,-0.168949669290185,-5.08370142525503
104,1995,8,26.7127836633515,-0.162229148298464,2.45189965084133
105,1995,9,24.7064358758704,-0.171344921594251,2.3052356727333
106,1995,10,22.5282904570838,-0.186827837091565,2.3729672231443
107,1995,11,19.490779450072,-0.099895740323928,0.415550193980552
108,1995,12,17.1680081742126,-0.0636417502994557,3.11670372592847
109,1996,1,15.9473188230646,-0.0670181167428356,4.0242264928182
110,1996,2,15.1246620834303,-0.176199099402855,1.5537074074715
111,1996,3,14.8580987471985,-0.277520866560727,-3.60255186309484
112,1996,4,15.8902258507709,-0.23446167913816,-0.184583688488261
113,1996,5,18.8208073927279,-0.146140363473042,1.9301316949078
114,1996,6,22.5394663013851,-0.209698987764298,0.130444201759426
115,1996,7,24.4360356823818,-0.171924596739304,-5.13394792637167
116,1996,8,26.1088901961941,-0.170971866213718,-8.37633503182231
117,1996,9,24.2730061435164,-0.163687454482252,-5.55467517388893
118,1996,10,21.6781021917382,-0.138788608566487,0.065779166728845
119,1996,11,19.3937111716395,-0.0741799246290487,-4.80539018522614
120,1996,12,17.2375791831431,0.00364449614945222,-8.39124499462438
121,1997,1,15.9765552015053,-0.0822567649971961,-3.568929508325
122,1997,2,15.3686619342925,-0.259798516708992,-8.55401425576056
123,1997,3,15.4117834517959,-0.329047938101969,-7.1944468073394
124,1997,4,15.7830543114383,-0.265115239115041,2.69179936197147
125,1997,5,18.8256711204083,-0.171476628338721,-2.35033509379383
126,1997,6,22.7019349941263,-0.173141120475467,-5.14004486782243
127,1997,7,24.5882744501565,-0.143183588615104,-4.09336801453995
128,1997,8,26.0223700446941,-0.177151218854179,-2.20381271324239
129,1997,9,24.9690518257654,-0.195554358870206,-3.00429270005815
130,1997,10,22.8780030803256,-0.137487171196554,-5.0398473725677
131,1997,11,19.835950658623,-0.0449245086965672,-3.10481364127106
132,1997,12,17.3260325955858,-0.0484712341201908,-2.39655169177182
133,1998,1,15.9717989057536,-0.139590598891594,-6.77834646013127
134,1998,2,15.3709217395989,-0.236210557244097,-8.28717527632496
135,1998,3,15.2940939814902,-0.317928566274877,-7.64632309107773
136,1998,4,16.2802045956453,-0.229242789949147,-1.98243503886204
137,1998,5,18.6825649772455,-0.184457446614111,-2.32390080220913
138,1998,6,22.6097293311692,-0.190247345542205,-9.22893391977094
139,1998,7,25.2298112331873,-0.151727009786876,-8.75617727199894
140,1998,8,26.8803742721513,-0.173010456338694,-11.7029104300819
141,1998,9,25.1243287082639,-0.169399432201443,-7.69843136227276
142,1998,10,22.6552515678065,-0.147711865793079,-5.11872571508396
143,1998,11,19.8831131891733,-0.101216104468423,-3.58706695553787
144,1998,12,17.0677894371655,-0.0938696261333736,-3.91175828138907
145,1999,1,15.676666771727,-0.139763775486583,-4.4952017873086
146,1999,2,14.872831995999,-0.272934781877935,3.38229525794665
147,1999,3,15.0495378576056,-0.287266176792463,-1.84831526313873
148,1999,4,16.1337432461266,-0.222272067234042,-6.23856946928512
149,1999,5,19.4857960913847,-0.175126620906017,-6.42376181103174
150,1999,6,23.0655042260326,-0.211444978795333,1.11953575321825
151,1999,7,25.3800060102292,-0.15918074960101,-1.2235753712468
152,1999,8,26.8603442328726,-0.157059294013996,-5.79783769093741
153,1999,9,25.9532186198059,-0.172876960406857,-11.1548118935582
154,1999,10,23.6505179062874,-0.144566581907963,-12.9167315370648
155,1999,11,20.6146730194798,-0.0927760349387929,-4.85617878678959
156,1999,12,17.5740643041686,-0.103302447213898,-12.0792863394385
157,2000,1,15.656653315018,-0.153287049126547,-5.21934342083136
158,2000,2,14.9587186524664,-0.255360251986152,-5.1319169190776
159,2000,3,15.0865247672415,-0.318329896710961,-10.710297779462
160,2000,4,16.2947750810034,-0.183266581294215,-8.54780782374882
161,2000,5,19.7436382308189,-0.170866241289617,-10.448614730949
162,2000,6,23.1035737046789,-0.193499760775109,-7.02378889593744
163,2000,7,25.0051050158239,-0.153114112950978,-10.2641344887942
164,2000,8,26.1397623887459,-0.172432984859081,-12.6573643794242
165,2000,9,25.2760315848676,-0.173915544023818,-8.09437630370918
166,2000,10,22.6497674739043,-0.130668890436421,-5.98166485330041
167,2000,11,20.2861842434564,-0.0772327668973878,1.26031839721897
168,2000,12,18.0210872649845,-0.0371381169627815,3.82968339262658
169,2001,1,16.3182913783155,-0.0822551566140099,4.03392393331814
170,2001,2,15.4854616953363,-0.220114080751727,5.83589214108612
171,2001,3,15.8416402850124,-0.249801654830329,2.38565654181133
172,2001,4,16.6569339455207,-0.223909365484186,-1.93997164968154
173,2001,5,19.0450263487349,-0.17392801587623,2.99702762084205
174,2001,6,22.492613505887,-0.213514921550848,-4.0018366511039
175,2001,7,25.2498365584068,-0.157744518689265,-8.32356938587797
176,2001,8,26.7304802487815,-0.167721641077275,-10.2545994655462
177,2001,9,25.2629352788701,-0.187711090082403,-11.5579860954308
178,2001,10,23.7479722454989,-0.13950508469504,-14.2277889707815
179,2001,11,20.4502870600438,-0.156996346331718,-9.8992808900071
180,2001,12,17.1993017544955,-0.131799595136781,-10.1762997736274
181,2002,1,15.4233318089515,-0.204138884240253,-8.10172985066832
182,2002,2,15.201776778614,-0.261071595449252,-2.16523568522604
183,2002,3,15.5921871734162,-0.276502221548448,-2.05267543453266
184,2002,4,16.4264865942852,-0.209057708200717,-3.69520358620524
185,2002,5,19.199158527342,-0.190246243523262,-3.81474446041512
186,2002,6,22.8918838622912,-0.199568425594037,-10.9674248156775
187,2002,7,25.5958215957522,-0.151789436893463,-2.21974092468722
188,2002,8,26.136536971994,-0.160153621848077,2.48730576164305
189,2002,9,25.2319282302054,-0.143873926561082,6.64030587316647
190,2002,10,22.7578258594085,-0.123879425406481,5.69398771663968
191,2002,11,20.2476620762491,-0.0559323605066167,7.47264414918755
192,2002,12,17.7471266652429,-0.0693326015299576,9.97033151924399
193,2003,1,16.2068504631694,-0.142073571331103,7.0999295750329
194,2003,2,15.0632680062111,-0.266086297086409,11.8248158351002
195,2003,3,14.9974975880815,-0.347875723108709,6.42162906037449
196,2003,4,15.952588218899,-0.257433665346411,3.54551402357375
197,2003,5,19.8162679310209,-0.218572552781787,7.92644891686085
198,2003,6,24.5046448786129,-0.23601970278506,14.7409647377996
199,2003,7,26.8726041904742,-0.161937653957012,10.4207624779947
200,2003,8,28.0592951412036,-0.168876984334238,9.47507815042005
201,2003,9,25.6365838631619,-0.196658231604016,3.1280869274837
202,2003,10,23.06715017621,-0.151557165446391,6.5498694214927
203,2003,11,20.245449389773,-0.0813845787360073,5.22749343489921
204,2003,12,17.683917117547,-0.0865181663421681,11.6882046653145
205,2004,1,15.5983627452438,-0.168527319153021,8.24587067789123
206,2004,2,14.8525267060228,-0.275976070493639,12.0359830185289
207,2004,3,14.8827521942661,-0.315501055554462,11.7053291327283
208,2004,4,16.0424289827115,-0.233735145821212,13.6424274593322
209,2004,5,18.1467220841372,-0.186202073857696,7.43679223883189
210,2004,6,22.1522116341671,-0.218573877383332,6.292145612535
211,2004,7,25.3280899393133,-0.170611897656116,1.34354386434287
212,2004,8,26.3437558194129,-0.167054310056112,1.52845263118933
213,2004,9,25.1530145643482,-0.192752315660834,-1.69377043437058
214,2004,10,23.2866774136096,-0.147247923276384,-1.64812866625861
215,2004,11,20.5814347621713,-0.109242932336251,-4.273662297397
216,2004,12,17.6904771111379,-0.104022914467188,-0.121817011647399
217,2005,1,15.7802493306596,-0.156539585818627,-2.91061150742982
218,2005,2,14.6048663107426,-0.269541557725342,-1.3988429319463
219,2005,3,14.7925722254389,-0.308015732495588,4.3916012456716
220,2005,4,15.9208778525919,-0.253522585499279,-0.839966372045584
221,2005,5,19.1506141292114,-0.200172357158854,-0.460014233069901
222,2005,6,23.077127091071,-0.210741992822917,-1.03340291361103
223,2005,7,25.6588841976211,-0.162533119260233,-2.72481271388529
224,2005,8,26.0677417554115,-0.162233197243573,-4.82958207246114
225,2005,9,25.1635015949304,-0.179560428002609,-5.54581464574189
226,2005,10,22.7648561045606,-0.177500286933423,-1.76998005663527
227,2005,11,20.107311057471,-0.121547964705858,4.44254892645283
228,2005,12,17.1395283880806,-0.116565645583689,2.70813474960639
229,2006,1,15.4166631358986,-0.178875018471658,-0.640042515309592
230,2006,2,14.713078052834,-0.239365509104163,-1.57698520332362
231,2006,3,14.7738770737019,-0.244652685342118,-2.53144095744549
232,2006,4,16.3760728519149,-0.215774850269432,-4.30539643521421
233,2006,5,19.4481791342877,-0.205942195528412,5.78266081056904
234,2006,6,22.4507211135718,-0.20073661001976,6.78572081734846
235,2006,7,26.1539938328717,-0.163428554319125,2.98897187266093
236,2006,8,26.4493281996677,-0.136924800824566,-2.41996692539401
237,2006,9,25.1207149180556,-0.172275464931554,-2.20535923703051
238,2006,10,23.1238990235889,-0.14258656674877,3.96965933670667
239,2006,11,20.1982601514675,-0.112279927751578,2.83441074683183
240,2006,12,18.0482413344221,-0.115049240910759,0.198954192947099
241,2007,1,16.2961563530183,-0.18094529646956,-2.73107019631214
242,2007,2,15.5213801613581,-0.243943379871151,-1.02285618943398
243,2007,3,15.5421674980564,-0.293271261719961,0.890929363264188
244,2007,4,16.6772827891366,-0.253954237320112,-2.27987134577611
245,2007,5,19.5782223278703,-0.177343078007378,7.06306192954391
246,2007,6,22.9995261134297,-0.176950519351204,9.13640013961448
247,2007,7,25.5076217191092,-0.168556344324063,2.12810276958368
248,2007,8,26.3069957391495,-0.161376792112025,2.61427041668242
249,2007,9,24.9829216282601,-0.192369763927416,4.37624725283471
250,2007,10,22.8704823861951,-0.176310974910447,8.46986100795079
251,2007,11,19.7963561870467,-0.138057715755361,0.297215315411665
252,2007,12,17.2635004044485,-0.089179062172221,2.65597898177424
253,2008,1,15.8930615599109,-0.154815845746881,-0.676812082560741
254,2008,2,15.2205790310403,-0.315771788034645,3.5061647045832
255,2008,3,15.3735504434403,-0.316620083266194,-2.96262213601527
256,2008,4,16.3840687129644,-0.204413178493343,-0.384350756281803
257,2008,5,19.1549387242996,-0.208008353593109,2.59052212703005
258,2008,6,22.9458270971378,-0.21449236832676,-3.06440657239793
259,2008,7,25.9975827104599,-0.167060350865497,-5.4972810518069
260,2008,8,26.9657708228771,-0.14212018237879,-7.40868958976872
261,2008,9,25.8231161603634,-0.163468834970309,-2.05077838894614
262,2008,10,22.7633636936695,-0.171362381787612,-1.84494257385659
263,2008,11,20.4520028037732,-0.0680668507593429,-9.43921288566052
264,2008,12,17.5626266509523,-0.0412415503084992,-10.5597582868274
265,2009,1,15.9037576522393,-0.134354889872356,-4.19202199819257
266,2009,2,15.0889163362479,-0.150873435442776,0.946696865962604
267,2009,3,14.9409837482077,-0.287032526730784,5.14440031586508
268,2009,4,16.2175457271314,-0.233700465232611,4.5144091311859
269,2009,5,19.539931072673,-0.2032628251452,10.6165500565973
270,2009,6,23.3490901619547,-0.179819742865166,13.0995658592322
271,2009,7,25.9058022312334,-0.14710546256532,6.14262522613963
272,2009,8,27.0674911012792,-0.166665964744292,8.43468862554094
273,2009,9,25.6691957344727,-0.185269320262026,9.76277605427007
274,2009,10,23.0812393306488,-0.164585431792278,6.67115957567549
275,2009,11,19.8571760252464,-0.084758980829189,8.93927164627521
276,2009,12,17.5384177261897,-0.0230795961644467,12.6478172184795
277,2010,1,16.0267685335378,-0.0786683390367331,13.567366327071
278,2010,2,15.2143844148971,-0.205410763207696,6.59217661883957
279,2010,3,15.3812846647598,-0.263584609476189,14.4106083204873
280,2010,4,16.7485401205327,-0.235598952026792,8.40216801282966
281,2010,5,19.1043542076755,-0.174137436727217,6.26383763352565
282,2010,6,22.4675794550584,-0.16903332323164,8.64223381931971
283,2010,7,25.9460223905327,-0.143656551234591,-1.98179874530695
284,2010,8,26.6820028312146,-0.159300884210584,-0.421004357872539
285,2010,9,25.4282215415399,-0.180031087879365,-3.1716811686039
286,2010,10,23.0667637569447,-0.133834509691313,-7.62549205908922
287,2010,11,20.1920841550853,-0.0600373398751879,-2.17426399293185
288,2010,12,17.7979287217167,-0.0243155640553918,-5.27334558777984
289,2011,1,16.2592318457208,-0.13042039611724,-4.07880024417017
290,2011,2,15.4882799844857,-0.218449890741328,-6.68398218752631
291,2011,3,15.3738970982669,-0.294960893544039,-1.42603487104511
292,2011,4,16.7646841442163,-0.267820210678582,0.0606329976597242
293,2011,5,19.2296527105887,-0.203675244677754,2.9261583215055
294,2011,6,22.8453790437855,-0.190498809293204,5.09128227227316
295,2011,7,25.6216928504843,-0.141408374895236,3.30858436690879
296,2011,8,26.519875440968,-0.175151675812076,2.97059269030223
297,2011,9,26.0031198030296,-0.173224833517296,-1.41638205225244
298,2011,10,23.0332889398128,-0.193788814438842,-2.10432119667673
299,2011,11,20.0662482682771,-0.13610351099606,-0.95346822809983
300,2011,12,17.7714178492331,-0.120764229510539,-1.90012302733652
301,2012,1,15.8172866739647,-0.195371248602484,1.71699936291255
302,2012,2,14.765540228668,-0.300138137190626,0.672773862014417
303,2012,3,14.9944458995517,-0.345466528245543,-3.22133533865061
304,2012,4,16.3792291781431,-0.224512522136772,-7.59195718654743
305,2012,5,19.3322849069501,-0.172190476814538,3.05088976892145
306,2012,6,23.444764439314,-0.214634355012522,2.88129035261462
307,2012,7,26.3517506903434,-0.169522175253965,-4.60057577115453
308,2012,8,27.5073512480185,-0.168155643446189,-2.0567913116317
309,2012,9,25.6476496822255,-0.192550898527278,-5.95807426239302
310,2012,10,23.9036141810344,-0.138755030378811,-2.36459029566068
311,2012,11,20.9377610282436,-0.0937861582236907,2.41032736369925
312,2012,12,17.7103807168196,-0.0694365219527695,-1.55764111579311
313,2013,1,15.9475586237961,-0.148044605366661,0.776933410433584
314,2013,2,15.0680163630599,-0.229293151426064,5.85641112496148
315,2013,3,15.129130238662,-0.255867163657338,-1.01998176588334
316,2013,4,16.609394496245,-0.219991358336959,-1.91289286712006
317,2013,5,19.4709310099712,-0.200849986036357,-7.69601835251442
318,2013,6,22.2278321926933,-0.200347336110939,1.03347919029541
319,2013,7,25.4727318873369,-0.168527326440591,5.48576630318828
320,2013,8,26.8990990815675,-0.165192328486608,3.91203499099428
321,2013,9,25.5071503319972,-0.192300096007164,0.339871912958415
322,2013,10,23.3291191360035,-0.157771382727889,-1.72388291855236
323,2013,11,20.6434271496358,-0.0935830733144665,-3.3581486370744
324,2013,12,17.5225780719914,-0.134423898034782,-5.95980127507873
325,2014,1,16.1619298146282,-0.0999842059362348,5.05676767812259
326,2014,2,15.5676808258016,-0.172144675917916,2.89479683683862
327,2014,3,15.5956074573183,-0.278403638868013,2.24982601700979
328,2014,4,16.8277462252805,-0.208701511712504,6.28972021363742
329,2014,5,19.1549277933614,-0.194009957906748,3.0507573389462
330,2014,6,22.8791683961229,-0.179255861447053,2.917165324297
331,2014,7,25.2141062058851,-0.123285554101435,3.20165841637356
332,2014,8,26.5099811933342,-0.121473580463127,4.54942340131193
333,2014,9,26.0236397252542,-0.106169126315249,1.15418355452515
334,2014,10,23.8135320817833,-0.122624720440114,0.0567191740374061
335,2014,11,20.7828330253138,-0.0765986132302847,0.387186394668646
336,2014,12,18.4170313003556,-0.0247240607876071,-2.78477202799604
337,2015,1,16.1799720754955,-0.152086667503764,-8.34929243273062
338,2015,2,15.1906958111518,-0.203824937702716,-1.8301257977689
339,2015,3,15.1265356403088,-0.295371084240987,-6.39606906433273
340,2015,4,16.2366054440594,-0.251602103020246,-0.857862712374157
341,2015,5,19.5394573702579,-0.19577907455077,-3.01872593709277
342,2015,6,22.928061981165,-0.186258957462266,-3.40239483689283
343,2015,7,26.417685841801,-0.146034046428107,4.10079640743231
344,2015,8,27.6189862790407,-0.125280258437824,-2.63660175916174
345,2015,9,26.1916724240858,-0.138086531834025,0.89255611107171
346,2015,10,23.4316450116151,-0.0983092572938826,-1.34836329453969
347,2015,11,20.676314160884,-0.106429161629957,-0.397979376516703
348,2015,12,18.0664880625648,-0.0952191580656055,-3.99579417821558
349,2016,1,16.4044170515307,-0.117569663520281,-5.03582683861756
350,2016,2,15.6638287972306,-0.22660414761784,-10.3457227372651
351,2016,3,15.5619029993799,-0.257613017697653,-10.6364065072457
352,2016,4,17.1529135657334,-0.224862104066869,-8.92641351711362
353,2016,5,18.9947650749158,-0.167027209353861,-4.35861169834731
354,2016,6,22.9387930723598,-0.169874311693951,-3.66829569413982
355,2016,7,25.7230365550955,-0.145639570348953,-1.72182743194602
356,2016,8,26.3623621203192,-0.147987071130507,-1.50506060731361
357,2016,9,25.7618133295317,-0.119273415206874,-0.711015548365603
